mapping_key,mapping_value
iid,iid
RMIT Product,Product_RMIT
RMIT-Product,Product_RMIT
rmit-product,Product_RMIT
rmit product,Product_RMIT
product,Product_RMIT
products,Product_RMIT
RMIT Products,Product_RMIT
segment,Segment
segments,Segment
TCSS,TCSS
AT_Site,AT_Site
AT sites,AT_Site
AT site,AT_Site
division,Division
divisions,Division
Package_Tech,Package_Tech
package tech,Package_Tech
tech packages,Package_Tech
tech package,Package_Tech
technology package,Package_Tech
technology packages,Package_Tech
Chip_Attach,Chip_Attach
chip attach,Chip_Attach
attached chip,Chip_Attach
attached chips,Chip_Attach
Tester_Platform,Tester_Platform
tester platform,Tester_Platform
tester platforms,Tester_Platform
cycle,cycle
cycles,cycle
Apr_21,cycle
Mar_21,cycle
Phase,Phase
phase,Phase
phases,Phase
WW,WW
ww,WW
comment,comment
comments,comment
