Product,Segment,TCSS,AT_Site,Division,Package_Tech,Chip_Attach,Tester_Platform,Cycle,Phase,WW,Comment
Product A82M,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,MapDay,202747,
Product A82M,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,ES2,202018,
Product A82M,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,QS,202418,
Product A82M,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,PRQ,202517,
Product A82M,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,TFC,202352,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Apr_21,PO,202723,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Apr_21,ES0,202729,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Apr_21,ES1,202346,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Apr_21,ES2,202220,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Apr_21,QS,202211,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Apr_21,PRQ,202628,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Apr_21,TFC,202116,
Product A82P,S-M,1-A,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,MapDay,202243,
Product A82P,S-M,1-A,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,QS,202021,
Product A82P,S-M,1-A,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,PRQ,202650,
Product A82P,S-M,1-A,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,TFC,202125,
Product A82PVN,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,MapDay,202743,
Product A82PVN,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,ES2,202545,
Product A82PVN,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,QS,202021,
Product A82PVN,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,PRQ,202328,
Product A82PVN,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Apr_21,TFC,202726,
Product AONE,S-P,1-A,VNAT,D-C,FCBGA,New-H,Old-V,Apr_21,MapDay,202723,
Product AONE,S-P,1-A,VNAT,D-C,FCBGA,New-H,Old-V,Apr_21,PO,202026,
Product AONE,S-P,1-A,VNAT,D-C,FCBGA,New-H,Old-V,Apr_21,ES,202316,Pull in schedule because of reason A
Product AONE,S-P,1-A,VNAT,D-C,FCBGA,New-H,Old-V,Apr_21,QS,202426,Push out due to reason B
Product AONE,S-P,1-A,VNAT,D-C,FCBGA,New-H,Old-V,Apr_21,PRQ,202250,
Product AONE,S-P,1-A,VNAT,D-C,FCBGA,New-H,Old-V,Apr_21,TFC,202419,
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,MapDay,202430,
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,PO,202318,Support by other site
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,ES,202632,Support by other site
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,QS,202010,
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,PRQ,202724,Pull in 1 week
