Product,Cycle,Phase,WW,Comment
Product A82M,Apr_21,MapDay,202747,
Product A82M,Apr_21,ES2,202018,
Product A82M,Apr_21,QS,202418,
Product A82M,Apr_21,PRQ,202517,
Product A82M,Apr_21,TFC,202352,
Product A81N,Apr_21,PO,202723,
Product A81N,Apr_21,ES0,202729,
Product A81N,Apr_21,ES1,202346,
Product A81N,Apr_21,ES2,202220,
Product A81N,Apr_21,QS,202211,
Product A81N,Apr_21,PRQ,202628,
Product A81N,Apr_21,TFC,202116,
Product A82P,Apr_21,MapDay,202243,
Product A82P,Apr_21,QS,202021,
Product A82P,Apr_21,PRQ,202650,
Product A82P,Apr_21,TFC,202125,
Product A82PVN,Apr_21,MapDay,202743,
Product A82PVN,Apr_21,ES2,202545,
Product A82PVN,Apr_21,QS,202021,
Product A82PVN,Apr_21,PRQ,202328,
Product A82PVN,Apr_21,TFC,202726,
Product AONE,Apr_21,MapDay,202723,
Product AONE,Apr_21,PO,202026,
Product AONE,Apr_21,ES,202316,Pull in schedule because of reason A
Product AONE,Apr_21,QS,202426,Push out due to reason B
Product AONE,Apr_21,PRQ,202250,
Product AONE,Apr_21,TFC,202419,
Product A01S,Apr_21,MapDay,202430,
Product A01S,Apr_21,PO,202318,Support by other site
Product A01S,Apr_21,ES,202632,Support by other site
Product A01S,Apr_21,QS,202010,
Product A01S,Apr_21,PRQ,202724,Pull in 1 week
Product A01S,Apr_21,TFC,202549,
Product 81S,Apr_21,MapDay,202416,correct the info
Product 81S,Apr_21,PO,202115,Support by other site
Product 81S,Apr_21,ES,202330,Support by other site
Product 81S,Apr_21,QS,202036,
Product 81S,Apr_21,PRQ,202049,
Product 81S,Apr_21,TFC,202348,
Product A82M,Mar_21,QS,202312,
Product A82M,Mar_21,PRQ,202612,
Product A81N,Mar_21,PO,202537,
Product A81N,Mar_21,ES,202747,
Product A81N,Mar_21,PRQ,202310,
Product A82P,Mar_21,PO,202317,
Product A82P,Mar_21,QS,202218,
Product A82P,Mar_21,PRQ,202432,
Product A82PVN,Mar_21,PO,202319,
Product A82PVN,Mar_21,QS,202244,
Product A82PVN,Mar_21,PRQ,202347,
Product AONE,Mar_21,PO,202225,
Product AONE,Mar_21,QS,202451,
Product AONE,Mar_21,PRQ,202752,
Product A01S,Mar_21,PO,202115,
Product A01S,Mar_21,ES,202228,
Product A01S,Mar_21,QS,202332,
Product A01S,Mar_21,PRQ,202647,
Product 81S,Mar_21,PO,202543,
Product 81S,Mar_21,ES,202119,
Product 81S,Mar_21,QS,202320,
Product 81S,Mar_21,PRQ,202447,
