mapping_key,mapping_value
product,product
products,product
Mar_21,include_cycle
Apr_21,include_cycle
cycle,include_cycle
cycles,include_cycle
Tester_Platform,include_testerplatform
tester platform, include_testerplatform
New-H,include_testerplatform
Old-V,include_testerplatform
Segment,include_segment
segment,include_segment
S-M,include_segment
SOC,include_segment
S-P,include_segment
S-D,include_segment
Division,include_division
division,include_division
divisions,include_division
D-C,include_division
D-I,include_division
